title,bgg_id,bgg_url,image_url,description,game_type,difficulty,play_time,min_players,max_players,suggested_age,publisher,mechanics,location_room,location_shelf,location_misc,sleeved,upgraded_components,crowdfunded,inserts,is_for_sale,sale_price,sale_condition,is_expansion,parent_game,in_base_game_box,is_coming_soon,rating
"Artistry: Marvelous Mucha Mini Expansion","","https://boardgamegeek.com/boardgame/452834/artistry-marvelous-mucha-mini-expansion","https://cf.geekdo-images.com/QIkN-QNNSiaabMBMJlM66g__itemrep/img/j6GK8LSgnUqnLkvIP9leVt1unSc=/fit-in/246x300/filters:strip_icc%28%29/pic9066281.jpg","Expand your Artistry game with the Marvelous Mucha mini-expansion, featuring the iconic Art Nouveau works of Alphonse Mucha. This expansion introduces new Master Artisan and Pattern cards, immersing players even deeper into the artistic world. Challenge your creativity and strategic thinking as you incorporate Mucha's masterful designs into your gameplay.

## Quick Gameplay Overview

- **Goal:** Unspecified (expands on the base game, Artistry).
- **On Your Turn:** Integrate new Master Artisan and Pattern cards into your game of Artistry.
- **End Game:** Unspecified (follows the base game's end conditions).
- **Winner:** Unspecified (follows the base game's victory conditions).

This mini-expansion enriches the Artistry experience by adding significant thematic depth and strategic variety with its unique card content.","Board Game","2 - Medium Light","45-60 Minutes","1","4","10+","Dux Somnium Games","","","","","","","true","","","","","true","Artistry","","",""
"Azul Mini","","https://boardgamegeek.com/boardgameversion/647593/english-edition","https://cf.geekdo-images.com/2MrXhtB_moe1nY2PUktlDA__small/img/yhHks19aE1eSN2KixUGlRaKx17E=/fit-in/200x150/filters:strip_icc()/pic7303601.png,","Azul Mini brings the classic abstract strategy game to a portable format, challenging players to decorate the Royal Palace of Evora with ceramic tiles. It retains all the strategic depth of the original with enhanced travel features.

## Quick Gameplay Overview

*   **Goal:** Score the most points by artfully placing colored tiles on your player board and creating patterns.
*   **On Your Turn:**
    *   **Factory Selection:** Choose all tiles of one color from a factory display or the center.
    *   **Row Placement:** Place chosen tiles into one row on your board—if filled, one tile moves to the wall, others to the ""floor line"" (negative points).
    *   **End of Round:** A round ends when displays are empty, then players score their walls.
*   **End Game:** The game ends after one player completes a horizontal row of 5 tiles on their wall.
*   **Winner:** The player with the highest total score wins, after bonus points for rows, columns, and color sets.

This edition features plastic overlays and integrated scoring for convenient travel play.","Board Game","2 - Medium Light","30-45 Minutes","2","4","8+","Next Move Games","Pattern Building;Tile Placement;Drafting","","","","","","","","","","","","","","",""
"Azul: Summer Pavilion","","https://boardgamegeek.com/boardgame/287954/azul-summer-pavilion","https://cf.geekdo-images.com/843kZ6WR0HfyXWEybA6L7A__opengraph/img/B8eryurWJ5PxzWMryBm_aCdPI98=/0x215:736x602/fit-in/1200x630/filters:strip_icc()/pic4930887.jpg","Azul: Summer Pavilion invites players to become master artisans decorating the royal Summer Pavilion. This abstract strategy game offers new twists to the beloved Azul series, challenging players to meticulously plan and adapt their tile-drafting strategies.

## Quick Gameplay Overview
- **Goal:** Score the most points by strategically placing colorful tiles.
- **On Your Turn:**
    - **Draft Tiles:** Take all tiles of one color from a factory display or the center.
    - **Place Tiles:** Place tiles onto your board, using the current round's wild color.
    - **Complete Stars & Columns:** Earn immediate points for completing sections.
    - **Claim Bonus Tiles:** Gain extra tiles by surrounding pillars.
- **Winner:** The player with the highest final score.","Board Game","3 - Medium","30-45 Minutes","2","4","8+","Next Move Games","Tile Placement;Set Collection;Drafting","","","","","","","","","","","","","","",""
"Bibleopoly","","https://boardgamegeek.com/boardgame/6668/bibleopoly","https://cf.geekdo-images.com/S6d0LoBcvClwdIp2RLnSTQ__opengraph/img/ktTrRjGkoPgKT8yDyq-ic9grWEE=/fit-in/1200x630/filters:strip_icc()/pic286371.jpg","Bibleopoly reimagines classic real estate trading with a biblical theme, offering a family-friendly economic game with a distinct spiritual flavor. Players journey through biblical locations, accumulating wealth and properties within a faith-based context.

## Quick Gameplay Overview

*   **Goal:** Acquire properties, collect offerings, build churches, and become the wealthiest player.
*   **On Your Turn:**
    *   **Roll the Dice:** Determine movement.
    *   **Move Your Token:** Advance clockwise.
    *   **Land on a Space:** Buy property, pay rent, draw cards, pay taxes, or go to penalty spaces.
    *   **Trade and Negotiate:** Exchange properties or assets between turns.
*   **Winner:** The last player remaining after others are bankrupt.
This edition offers a wholesome and engaging alternative to traditional economic board games.","Board Game","2 - Medium Light","60+ Minutes","2","6","8+","Late for the Sky Production Company","Auction / Bidding;Roll / Spin and Move;Set Collection;Trading","","","","","","","","","","","","","","",""
"Biome","","https://boardgamegeek.com/boardgame/382549/biome","https://cf.geekdo-images.com/3Z2EjY23iDYBJd2ccTIZnw__opengraph/img/UzSPpzP3ipuyTrzZos8oja4-2lQ=/0x778:3358x2541/fit-in/1200x630/filters:strip_icc()/pic8532107.png","Biome is a captivating tableau-building game where players construct diverse ecosystems. Strategically acquire and place flora and fauna cards, creating synergies to outmaneuver opponents.

## Quick Gameplay Overview

- **Goal:** Score the most victory points by creating the most biodiverse biome.
- **On Your Turn:**
    - **Play Card:** Play a creature, plant, or ability card into your biome.
    - **Trigger Effects:** Activate immediate or ongoing card effects.
    - **Acquire Cards:** Draw new cards from the market or deck.
- **Winner:** The player with the highest victory points wins.","Card Game","3 - Medium","60+ Minutes","1","4","10+","Lioness Games","End Game Bonuses;Events;Hand Management","","","","","","","","","","","","","","",""
"Blokus","","https://boardgamegeek.com/boardgame/2453/blokus","https://cf.geekdo-images.com/96YA5wUJDxtPkmPxemr5Qg__opengraph/img/uP2lSC4rrPPilWbKgR3zzZMataY=/0x506:2048x1581/fit-in/1200x630/filters:strip_icc()/pic2197702.jpg","Blokus is an abstract strategy game where players place polyomino pieces to claim territory on a board. Its simple rules hide deep tactical depth, offering accessible yet engaging spatial puzzles for all skill levels.

## Quick Gameplay Overview
- **Goal:** Be the player with the fewest unplayed pieces by placing as many as possible.
- **On Your Turn:**
    - **Start:** Play your first piece touching a corner square.
    - **Place Piece:** Subsequent pieces must touch a corner of one of your previously placed pieces.
    - **Corners Only:** Your pieces of the same color cannot touch along an edge, only at corners.
    - **Others:** Different colored pieces can touch along edges or corners.
- **End Game:** The game ends when no player can make a legal move.
- **Winner:** The player with the lowest score (sum of squares in unplaced pieces) wins. Placing all pieces gives a -20 bonus; placing the single square last gives a -5 bonus.

This edition features colorful polyomino pieces for a visually engaging experience.","Board Game","2 - Medium Light","15-30 Minutes","2","4","7+","Educational Insights","Pattern Building;Tile Placement","","","","","","","","","","","","","","",""
"Blueprints of Mad King Ludwig","","https://boardgamegeek.com/boardgame/376610/blueprints-of-mad-king-ludwig","https://cf.geekdo-images.com/inSFynpmGq7s4Dx9IYZnRw__opengraph/img/oqbGn9S7FkV-HD2aTjNZT2c_krU=/0x0:3524x1850/fit-in/1200x630/filters:strip_icc()/pic7275398.jpg","In *Blueprints of Mad King Ludwig*, players become architects, designing extravagant castle blueprints to impress the eccentric monarch. This roll-and-write game uniquely uses transparent sheets, focusing on strategic room placement and clever connections.

## Quick Gameplay Overview

*   **Goal:** Draft and draw rooms to create a castle blueprint that scores the most points by satisfying Mad King Ludwig's requests.
*   **On Your Turn:**
    *   **Draft a Room:** Choose a room card from those revealed.
    *   **Draw the Room:** Draw the room onto your transparent blueprint, placing it adjacent to existing rooms.
    *   **Connect & Score:** Connect same-type rooms for bonuses, aiming to fulfill public ""King's Favors"" and private ""Bonus Cards.""
    *   **Special Actions:** Utilize certain rooms or sections for additional advantages.
*   **Winner:** The player with the highest score at the game's end.

This edition offers a refreshing take on castle-building, blending strategic planning and spatial puzzle-solving for high replayability.","Board Game","3 - Medium","60+ Minutes","1","5","15+","Bézier Games","Pattern Building;Tile Placement;Drawing;Score-and-Reset Game","","","","","","","","","","","","","","",""
"Bluey: Keepy Uppy","","https://boardgamegeek.com/boardgame/397459/bluey-keepy-uppy","https://cf.geekdo-images.com/sFZ4fa-mIEbU0h7KZvla7Q__opengraph/img/P-DoEIwP2BEuUgLpm_VdDv7veCM=/0x2:800x422/fit-in/1200x630/filters:strip_icc()/pic7664007.jpg","**Bluey: Keepy Uppy** is a lively, motorized action game bringing the beloved children's show to your tabletop. Players use character paddles to keep a balloon aloft, challenging their reflexes and steady hands in a fun, active experience.

## Quick Gameplay Overview
*   **Goal:** Be the last player with ""balloon Pop"" tokens.
*   **Each Round:**
    *   A motorized unit makes the balloon flip and spin unpredictably.
    *   **Bop** the balloon with your paddle when it approaches your section.
    *   Send the balloon back into the air and away from your hedge.
    *   If the balloon hits your hedge, you lose a ""balloon Pop"" token.
*   **Winner:** The last player remaining with ""balloon Pop"" tokens wins.

This engaging game captures the playful spirit of Bluey, offering simple rules and active interaction.","Board Game","1 - Light","15-30 Minutes","2","3","3+","Moose Games","Player Elimination;Real-Time","","","","","","","","","","","","","","",""
"Botany","","https://boardgamegeek.com/boardgame/380837/botany","https://cf.geekdo-images.com/keC0oy0nbpewpRTdcte42Q__opengraph/img/mSiW0dATUKE6BMCO3l2tlbOqUFE=/0x456:3600x2346/fit-in/1200x630/filters:strip_icc()/pic7361181.png","Botany immerses players in 19th-century botanical exploration, competing as aspiring botanists to discover rare flora. Cultivate gardens and complete collections to earn the coveted title of Royal Botanist, blending strategic planning with adventure.

## Quick Gameplay Overview

*   **Goal:** Become the Royal Botanist by earning the most triumph points.
*   **On Your Turn:**
    *   **Travel:** Move your botanist across a global map.
    *   **Collect Specimens:** Acquire plant specimens from your current region.
    *   **Cultivate Garden:** Fulfill objectives in your personal garden with collected specimens.
    *   **Utilize Character Ability:** Activate your unique botanist ability once per round.
    *   **Complete Collections:** Fulfill sets of specimens for triumph points and rewards.
*   **Winner:** The player with the most triumph points at the end of the game.

This edition features vibrant artwork and thematic elements, making plant discovery a memorable experience.","Board Game","2 - Medium Light","45-60 Minutes","1","5","8+","Dux Somnium Games","Set Collection;Hand Management;Dice Rolling;Modular Board","","","","","","","","","","","","","","",""
"Botany: Festive Foliage","","https://boardgamegeek.com/boardgame/448464/botany-festive-foliage","https://cf.geekdo-images.com/uUp2bskY-Jm8USnXtxLhXw__opengraph/img/5K8Bsb6jx8JgSEaQa1VyswUBhfM=/0x447:1843x2010/fit-in/1200x630/filters:fill(blur):strip_icc()/pic9061020.jpg","Botany: Festive Foliage expands the garden-building game with a charming winter theme, introducing new mechanics and holiday cheer. Players cultivate a vibrant garden with festive plants and characters, blending strategic design with a relaxing experience.

## Quick Gameplay Overview

**Goal:** Create the most harmonious and appealing festive garden by arranging cards and completing achievements to maximize your score.

**On Your Turn:**
- **Draw Cards:** Replenish your hand with new plant, character, or garden feature cards.
- **Plant & Arrange:** Strategically add cards to your personal garden tableau, considering placement for scoring.
- **Activate Abilities:** Utilize special powers of Festive Characters or Garden Features for advantages.
- **Complete Objectives:** Work towards fulfilling unique festive objectives for end-game points.
**Winner:** The player with the highest festive score at the game's end wins.

This expansion offers a charming experience for new and veteran players, perfect for adding holiday cheer to your botanical collection.","Board Game","2 - Medium Light","45-60 Minutes","1","5","8+","Dux Somnium Games","","","","","","","","","","","","true","Botany","","",""
"Botany: Orchid Obsession","","https://boardgamegeek.com/boardgame/425764/botany-orchid-obsession","https://cf.geekdo-images.com/ZTNbguyvvX2SqqzsgAMGuQ__opengraph/img/4b2DBIth__TbHIT-vrJRWNev6Do=/0x401:2410x2688/fit-in/1200x630/filters:fill(blur):strip_icc()/pic8708667.jpg","Botany: Orchid Obsession expands the Botany board game, immersing players in the competitive Victorian ""orchid craze."" This expansion heightens the race to discover and claim the most coveted orchid specimens, adding new dynamics centered on swift acquisition.

## Quick Gameplay Overview

-   **Goal:** Be the most successful botanist by acquiring highly sought-after shared orchid specimen cards.
-   **On Your Turn:**
    -   **Observe:** Reveal new orchid specimen cards.
    -   **Acquire:** Use resources to claim newly revealed orchids.
    -   **Collect:** Add acquired orchids to your personal collection for scoring.
-   **Winner:** The player with the most victory points from their orchid collection wins.","Board Game","2 - Medium Light","60+ Minutes","1","5","10+","Cranio Creations","","","","","","","","","","","","true","Botany","","",""
"Café Baras","","https://boardgamegeek.com/boardgame/406498/cafe-baras","https://cf.geekdo-images.com/sV-BgLSSo1L6C0m8fqF98w__opengraph/img/qusJehul9jo4OygzRnVsu8OiKSU=/0x1106:1216x1753/fit-in/1200x630/filters:fill(blur):strip_icc()/pic7899404.jpg","In Café Baras, players build a charming café, attracting diverse capybara clientele and transforming them into loyal regulars. This card-drafting game combines strategic planning with adorable artistry for a lighthearted yet engaging experience.

## Quick Gameplay Overview

*   **Goal:** Accumulate the most victory points by satisfying customers, completing objectives, and designing a well-laid-out café.
*   **On Your Turn:**
    *   **Draft Cards:** Select menu items, café upgrades, or customer cards from a central display.
    *   **Play Cards:** Add drafted cards to your café tableau.
    *   **Serve Customers:** Fulfill customer needs with menu items to earn loyalty and points.
    *   **Special Actions:** Utilize unique card or upgrade abilities to enhance your strategy.
*   **Winner:** The player with the highest victory point total wins.","Card Game","2 - Medium Light","30-45 Minutes","2","4","8+","KTBG","Card Drafting;Set Collection","","","","","","","","","","","","","","",""
"Calico","","https://boardgamegeek.com/boardgame/283155/calico","https://cf.geekdo-images.com/qGkU6XsF1448F_A4P8TY5Q__opengraph/img/txneIaekgBgvgpIG5tNk1hq-TXg=/0x0:5659x2971/fit-in/1200x630/filters:strip_icc()/pic8124431.jpg","Calico is a charming tile-laying game where players create the most appealing, cat-attracting quilt. This delightful puzzle balances various scoring objectives, offering surprising strategic depth within its gentle theme.

## Quick Gameplay Overview

*   **Goal:** Score victory points by completing pattern goals, attracting cats, and collecting button sets.
*   **On Your Turn:**
    *   **Select Patch:** Choose one of two fabric patches from hand.
    *   **Place Patch:** Place it onto your personal quilt board.
    *   **Draw Patch:** Refill your hand to two patches from the bag.
*   **End Game:** The game ends when all quilts are filled with 22 patches.
*   **Winner:** The player with the highest total score wins.","Board Game","3 - Medium","30-45 Minutes","1","4","10+","Flatout Games","Pattern Building;Tile Placement;Set Collection;Drafting","","","","","","","","","","","","","","",""
"Call to Adventure","","https://boardgamegeek.com/boardgame/238992/call-to-adventure","https://cf.geekdo-images.com/oz_C4Hwf1Hb6KHt6KTxJJA__opengraph/img/Y_hhqBDYNgqI1FMqwRSshevUkqY=/0x275:2756x1722/fit-in/1200x630/filters:strip_icc()/pic4165094.jpg","Embark on an epic journey in `Call to Adventure`, a captivating tabletop game where players craft their unique hero's story. Through challenges and choices, develop your character, acquire powerful traits, and face adversaries to become the most legendary hero. This game blends narrative richness with engaging card-drafting and rune-casting mechanics.

## Quick Gameplay Overview

*   **Goal:** Become the most legendary hero by accumulating the most destiny points.
*   **On Your Turn:**
    *   **Draft Cards:** Choose character/challenge cards for your tableau.
    *   **Attempt Challenges:** Use engraved runes (abilities) on character cards—cast custom runes aiming to match/exceed difficulty.
    *   **Gain Traits:** Successfully completing challenges earns new trait cards to develop your hero.
    *   **Advance Your Story:** Collect specific cards to progress your story path, unlocking powerful abilities.
*   **End Game:** The game concludes when a player completes their third story card, or a set number of character cards are played.
*   **Winner:** The player with the highest destiny points.","Board Game","3 - Medium","30-45 Minutes","1","4","13+","Brotherwise Games","Card Drafting;Dice Rolling;Set Collection;Storytelling;Variable Player Powers","","","","","","","","","","","","","","",""
"Call to Adventure: Epic Origins","","https://boardgamegeek.com/boardgame/351077/call-to-adventure-epic-origins","https://cf.geekdo-images.com/rEM-j59Wx1VgtFv0j2ZOgw__opengraph/img/0hiWsJsDCrhcKUsEB9ARYrwft4I=/0x95:968x1145/fit-in/1200x630/filters:fill(blur):strip_icc()/pic6504313.png","**Call to Adventure: Epic Origins** is a fantasy game where players create legendary heroes, charting their destinies from humble beginnings to epic sagas. This standalone sequel plunges you into myth and magic, crafting unique characters through narrative choices.

## Quick Gameplay Overview

*   **Goal:** Create the most heroic character by collecting experience and fulfilling destiny.
*   **On Your Turn:**
    *   **Draw Cards:** Draw Character or Destiny cards to expand choices.
    *   **Attempt Challenges:** Roll custom runes; success or failure shapes your hero's story and grants abilities.
    *   **Acquire Traits and Destiny:** Gain trait cards for abilities and acquire destiny cards for end-game scoring.
    *   **Use Abilities:** Employ talents to influence rolls or mitigate failures.
*   **Winner:** The player with the highest experience total wins.
*   This edition offers a deeply immersive and customizable experience with stunning artwork.","Board Game","2 - Medium Light","30-45 Minutes","1","4","13+","Brotherwise Games","Card Drafting;Dice Rolling;Narrative Choice / Storytelling;Set Collection","","","","","","","","","","","","","","",""
